familyid,ethnicgroup,length_of_residence,owner_renter_status,vacant,bathroom_cnt,bedroom_cnt,latitude,longitude
000105973752,H,40,5,0,,,034.132790,-118.085360
000106584081,D,14,2,0,5,5,034.063240,-118.409210
000106211777,C,42,9,0,5,4,034.046890,-118.392330
000106230123,B,23,9,0,,,034.095160,-118.359580
000106256589,H,37,9,0,3,5,033.766160,-118.196860
000040935461,C,13,2,0,2,4,034.156950,-118.368870
000106218868,L,17,9,0,,,034.119900,-118.019430
000105975461,J,16,9,0,,,034.038410,-118.390340
000106507685,H,32,9,0,3,3,034.181080,-118.105700
000106016136,E,23,5,0,,,033.876460,-118.061190
000106616747,V,01,9,0,1,2,033.809060,-118.360914
000106070381,I,29,9,0,,,034.069050,-118.349230
000106450946,H,13,4,0,,,034.141310,-118.145140
000106039832,E,10,5,0,0,0,033.852760,-118.357340
000105848865,H,33,2,0,1,2,034.181180,-118.112140
000105864132,W,25,9,0,,,034.166500,-118.451130
000106219314,F,15,9,0,,,034.135321,-118.659528
000105844170,L,18,9,0,,,034.218930,-118.186490
000106017860,E,16,9,0,3,4,033.793850,-118.388280
000106509844,H,33,9,0,,,034.134800,-118.163650
000106636518,I,13,8,0,1,3,034.194020,-118.117520
000105809994,B,07,9,0,1,2,033.962000,-118.390240
000106651753,E,01,3,0,2,3,034.251320,-118.585350
000106658357,B,23,9,0,2,3,034.021490,-118.508920
000094454333,G,08,9,0,1,2,034.056670,-118.347780
000106548079,H,24,9,0,,,034.115550,-118.117280
000106657123,L,10,7,0,,,033.981980,-118.466070
000105867596,E,26,9,0,,,034.100480,-118.023590
000106584557,I,16,6,0,,,033.940700,-118.348930
000106058432,H,34,5,0,1,2,034.158347,-118.585042
000105914353,H,16,7,0,2,4,034.158347,-118.585042
000106070920,H,16,9,0,0,0,034.033080,-118.486500
000106301755,L,04,9,0,0,0,034.009860,-118.452300
000106128819,H,38,9,0,,,033.807660,-118.202700
000106323824,P,13,9,0,2,3,034.144400,-118.374430
000106417628,K,02,5,0,,,034.029085,-118.502620
000106071832,H,22,9,0,1,2,034.422580,-118.451070
000106523127,J,13,1,0,,,033.760510,-118.141510
000106384157,H,25,4,0,,,034.028380,-118.482820
000105951688,D,35,9,0,0,0,034.118710,-118.359742
000106166535,G,23,6,0,,,033.756780,-118.315230
000025540267,E,04,5,0,,,034.412120,-118.485490
000105867135,H,19,2,0,3,4,034.045720,-118.150530
000106211921,A,20,9,0,2,2,034.142060,-118.369490
000106583802,D,12,4,0,3,4,034.100070,-118.252540
000106123979,A,18,5,0,3,2,033.869820,-118.165750
000105951426,H,43,9,0,1,2,034.028950,-118.481650
000106235974,C,18,5,0,,,034.493710,-118.344610
000106432478,S,15,9,0,2,3,034.101960,-117.808660
000106031960,H,06,5,0,0,0,033.931430,-118.084080
000040977233,L,23,5,0,,,034.009960,-118.087110
000106676485,H,08,5,0,,,033.764150,-118.169580
000105799996,R,15,9,0,3,2,034.267460,-118.313170
000106328052,H,41,9,0,2,3,034.054190,-118.372180
000105820850,L,20,4,0,3,2,033.783500,-118.123930
000104233511,H,15,9,0,,,034.218010,-118.581500
000106415529,H,21,3,0,,,033.957590,-118.438640
000106418250,E,04,9,0,,,034.448890,-118.564920
000106522074,I,08,9,0,1,2,034.106583,-118.758569
000106563772,R,21,9,0,,,034.178850,-118.344310
000105885399,B,16,9,0,1,2,034.077010,-117.767590
000106581892,K,10,9,0,,,034.174240,-118.127790
000106638117,H,22,9,0,,,034.098550,-118.128230
000106210035,E,22,5,0,,,033.960950,-117.905070
000105866105,H,20,9,0,0,0,034.096110,-118.369920
000105840309,Q,10,9,0,0,0,033.999160,-118.396130
000106121095,H,33,9,0,,,034.187875,-118.651510
000106273255,E,24,2,0,1,2,033.926860,-117.992920
000078212676,H,26,5,0,1,2,033.854350,-118.093570
000105957244,E,17,8,0,,,034.135150,-118.653510
000106014184,F,23,5,0,0,0,034.253320,-118.454520
000106671414,J,04,8,0,,,033.868480,-118.094060
000106232968,H,24,9,0,,,034.069029,-118.384615
000106100545,H,33,9,0,,,034.158690,-118.123440
000105994888,H,17,5,0,3,5,034.191730,-118.564890
000106541310,J,05,4,0,2,3,034.160170,-118.521670
000106349293,I,17,9,0,0,0,034.155180,-118.642629
000106252064,H,04,2,0,,,034.283390,-118.494180
000106457896,W,15,9,0,2,4,034.107046,-118.152921
000106458402,E,04,5,0,0,0,034.577090,-118.135200
000106125502,J,27,9,0,,,034.163690,-118.419320
000105996181,D,08,9,0,1,4,034.651664,-118.235491
000106545490,E,07,9,0,2,2,034.395070,-118.597310
000078673343,H,34,9,0,3,4,034.643370,-118.243240
000106541268,E,34,5,0,0,0,034.072333,-118.343059
000105821123,F,12,9,0,0,0,033.917180,-118.361274
000106031703,E,19,7,0,4,4,034.259340,-118.294890
000106676406,H,15,4,0,0,0,033.987290,-118.422198
000106129810,V,15,9,0,,,033.991860,-118.437310
000106250928,B,12,9,0,1,4,033.833040,-118.182100
000106326403,H,33,7,0,,,033.874990,-118.373040
000106509179,E,12,3,0,,,034.184180,-118.330090
000106619910,E,22,2,0,0,0,034.175180,-118.382580
000106568112,E,18,9,0,0,0,033.990900,-118.442730
000106277424,J,41,6,0,,,034.451980,-118.488410
000106210250,H,18,8,0,4,3,033.797688,-118.287994
000105821445,J,01,3,0,3,4,034.401960,-118.471570
000106166116,S,18,1,0,2,3,034.470440,-118.636970
000105849269,H,42,9,0,4,6,033.766810,-118.141850
000088558910,B,32,2,0,1,3,034.426570,-118.552340
000106456434,H,33,9,0,2,3,034.321566,-118.405043
000106035304,E,16,4,0,,,034.210250,-118.205690
000106141065,L,19,9,0,0,0,034.055580,-118.382270
000106070116,E,16,9,0,,,034.105310,-118.223690
000106016076,H,11,9,0,,,034.149370,-118.361690
000106501516,C,15,9,0,0,0,034.196780,-118.157910
000106618744,E,17,9,0,3,4,033.962310,-118.320960
000106546543,H,33,9,0,,,034.031970,-118.470550
000106546810,R,16,7,0,0,0,034.071956,-118.371239
000106610966,L,18,9,0,,,034.105250,-118.114090
000106033739,E,25,9,0,2,3,033.772895,-118.120874
000105802811,H,24,9,0,,,034.049140,-118.132690
000105779675,H,14,9,0,2,2,034.226180,-118.488590
000106346868,P,17,9,0,,,034.142560,-117.983790
000106057449,P,20,7,0,0,0,034.137430,-118.190870
000105802007,P,11,5,0,1,2,033.916990,-118.241300
000106677732,H,26,6,0,0,0,033.841860,-118.060910
000106127818,H,17,4,0,0,0,034.063950,-117.893490
000106300539,E,18,9,0,1,2,034.048730,-118.318610
000105958062,D,33,5,0,,,033.855880,-118.084020
000105881366,J,25,6,0,,,034.105560,-118.760160
000106094423,H,07,3,0,,,034.083180,-118.357060
000106126697,H,37,9,0,0,0,034.099390,-117.912620
000105978634,E,18,9,0,,,033.744550,-118.332950
000105976195,H,14,9,0,3,3,034.256120,-118.478830
000105806909,H,16,9,0,,,034.157890,-117.999270
000106059899,F,19,9,0,,,034.210090,-118.205620
000039626382,H,03,9,0,0,0,034.022930,-118.432890
000105796333,E,17,9,0,3,6,033.983740,-118.027260
000105845082,H,35,9,0,1,3,033.817610,-118.365840
000105953818,W,09,9,0,3,3,034.003910,-118.108590
000105931511,K,24,9,0,,,034.136310,-118.140210
000106363513,J,17,4,0,0,0,034.180331,-118.305284
000105910147,L,15,9,0,,,034.038060,-118.844390
000106075920,P,39,9,0,,,033.798483,-118.151373
000106165589,B,15,5,0,0,0,033.848380,-118.259250
000105842953,S,02,5,0,,,033.918500,-118.166290
000106325753,P,18,9,0,,,033.808400,-118.270600
000106502169,E,20,3,0,3,2,034.760490,-118.168420
000106030668,K,12,9,0,0,0,034.090100,-118.104780
000106258604,H,32,4,0,,,033.806240,-118.362480
000106434894,S,33,5,0,,,033.944520,-118.099680
000106547366,L,08,9,0,,,034.134220,-118.206830
000106502910,E,26,5,0,1,3,034.041210,-118.131300
000105824919,P,14,9,0,,,033.871390,-118.401500
000106500832,H,17,9,0,0,0,033.819490,-118.322070
000105992284,E,12,7,0,0,0,033.823830,-118.123920
000094348965,H,15,9,0,0,0,034.047740,-118.389640
000106561665,E,29,9,0,1,2,034.174850,-118.540070
000106293089,E,15,5,0,1,2,034.036840,-118.399120
000106690247,H,33,5,0,,,034.146270,-118.387360
000105779049,E,35,9,0,,,034.174250,-118.385220
000106058665,S,06,9,0,,,034.085920,-118.286160
000006519563,E,34,9,0,,,033.835210,-118.238440
000106034413,I,33,9,0,3,3,034.099960,-118.326250
000106270998,E,46,9,0,0,0,034.147960,-118.384780
000106450475,H,27,5,0,0,0,034.002100,-118.345690
000106631584,J,42,1,0,2,4,033.861452,-118.107215
000106107071,E,33,9,0,,,033.987890,-118.441900
000106613281,H,14,4,0,,,034.063133,-118.468597
000061611691,K,02,9,0,0,0,033.756795,-118.397299
000105916232,H,18,9,0,,,033.870860,-118.347410
000106527197,H,21,5,0,,,033.994910,-118.047100
000106657827,H,40,9,0,0,0,034.024170,-117.884970
000106077040,H,07,7,0,0,0,033.837660,-118.268910
000105827051,H,33,9,0,0,0,033.831050,-118.184130
000105957927,E,08,9,0,2,3,034.095920,-118.050710
000106547882,H,14,9,0,1,2,033.853650,-118.094140
000106143368,B,11,4,0,0,0,034.107767,-118.152012
000106450349,H,33,1,0,2,2,034.002670,-118.485420
000106616543,H,10,5,0,,,034.034700,-118.481090
000106410223,H,04,9,0,,,034.169234,-118.130983
000106380886,H,33,3,0,0,0,034.099530,-118.349460
000106148460,E,26,7,0,,,033.819070,-118.327210
000064576095,H,24,7,0,,,034.026870,-118.514080
000083540473,F,37,9,0,,,033.972880,-118.410530
000106101999,E,30,7,0,1,2,034.019290,-118.390180
000106292193,H,07,9,0,,,034.118870,-118.403690
000105806519,H,01,8,0,1,2,034.665840,-117.670290
000106230178,H,01,3,0,1,3,033.971741,-118.375261
000106672847,E,19,9,0,0,0,034.127790,-118.160510
000106109329,H,05,9,0,,,033.778410,-118.382530
000105864268,L,18,9,0,,,034.134790,-118.174250
000106656208,W,33,4,0,1,2,034.021090,-118.490880
000106323353,E,45,9,0,2,3,034.020370,-117.862410
000106419523,H,20,6,0,,,034.064021,-118.471427
000105792397,I,10,9,0,2,2,034.095460,-117.723174
000106121207,H,40,7,0,0,0,034.001840,-118.401820
000105822810,J,18,7,0,,,034.462630,-118.623840
000106140166,E,19,9,0,1,2,034.018640,-118.487220
000106015562,E,47,9,0,,,033.994570,-117.820960
000105778886,E,21,1,0,,,034.688443,-118.184474
000106219408,P,23,5,0,2,3,034.065650,-117.909570
000106544724,L,14,7,0,,,033.946840,-118.029500
000106501142,H,19,9,0,,,034.053170,-117.853240
000106637894,H,16,3,0,1,2,033.956020,-118.163530
000085164809,I,09,9,0,2,3,034.153178,-118.348850
000106504093,H,08,9,0,,,034.602670,-118.133620
000028914853,H,33,9,0,,,033.769120,-118.326570
000105975034,L,09,9,0,1,3,033.835040,-118.110210
000106503547,E,34,9,0,,,033.784290,-118.147940
000106526756,L,33,2,0,,,033.732930,-118.302430
000106308223,J,04,9,0,,,033.798670,-118.344230
000105863068,H,16,9,0,,,034.124970,-117.987270
000106501058,W,14,7,0,0,0,034.201230,-118.154500
000106581452,D,02,9,0,2,5,034.177950,-118.539900
000105930358,J,15,5,0,,,034.185830,-118.405620
000106129153,H,25,7,0,0,0,034.051990,-118.501450
000080996203,J,15,5,0,1,2,033.892520,-118.387240
000106651156,I,15,9,0,,,034.177850,-118.299470
000106497394,S,07,3,0,2,3,033.767640,-118.152060
000106279808,E,14,9,0,1,2,033.954579,-118.293475
000106509205,H,05,9,0,4,5,034.088750,-118.383870
000106121736,H,24,4,0,0,0,034.052530,-118.520710
000106658674,I,35,9,0,1,1,034.062340,-118.312430
000106529775,D,19,6,0,0,0,034.164100,-118.507960
000106210865,J,16,5,0,,,034.065880,-118.280690
000105911266,H,05,9,0,,,034.167550,-118.402550
000106528504,H,09,4,0,1,3,034.081400,-118.367230
000105881748,E,50,5,0,,,033.829240,-118.242630
000106075755,H,22,9,0,3,2,034.431127,-118.537322
000105840464,K,28,4,0,4,4,034.116410,-118.350130
000105956879,H,05,5,0,4,4,034.025670,-118.510800
000105996592,S,35,1,0,1,3,034.135910,-117.729170
000106675573,L,16,4,0,3,4,034.221110,-118.241190
000101241529,H,25,9,0,2,2,034.002469,-118.213089
000106298128,C,18,5,0,,,033.794940,-118.136410
000106542934,C,17,9,0,,,034.176720,-118.642490
000106416923,H,01,9,0,,,033.904090,-117.989640
000106346758,L,16,5,0,1,4,034.053580,-118.181170
000106106567,C,14,9,0,0,0,034.452480,-118.627870
000106431210,H,22,3,0,,,034.194640,-118.602280
000106057287,W,14,5,0,,,034.177110,-118.388460
000104103386,E,34,4,0,,,034.030760,-118.197100
000106070946,H,05,7,0,,,033.847910,-118.361750
000106325407,E,02,3,0,0,0,034.036200,-118.337750
000106161394,D,09,3,0,3,4,034.105660,-117.884330
000106548605,S,08,2,0,1,2,034.680180,-118.079890
000106526109,H,16,8,0,,,033.841860,-118.348730
000106075409,H,28,9,0,0,0,034.034700,-118.126820
000106476043,I,18,9,0,0,0,033.770320,-118.154602
000106213795,H,15,9,0,2,3,033.922250,-118.346350
000106652411,S,15,1,0,0,0,034.179980,-118.545920
000105822881,H,09,9,0,1,3,034.132970,-117.863200
000106231409,P,16,9,0,0,0,034.080540,-117.716030
000106300814,H,25,9,0,,,034.206230,-118.391020
000106678924,H,16,5,0,,,034.095090,-117.967230
000106340825,E,16,9,0,1,3,034.052678,-118.346202
000105808197,H,16,9,0,1,2,034.447440,-118.549660
000106522731,H,28,4,0,,,033.904430,-118.348660
000106632938,H,19,9,0,0,0,034.073059,-118.340905
000106567365,I,27,9,0,0,0,034.393510,-118.544640
000106164965,E,42,7,0,0,0,033.765420,-118.124360
000105843522,L,06,2,0,0,0,033.883990,-118.372350
000106657649,J,22,5,0,0,0,034.236100,-118.441880
000089124589,L,04,9,0,2,4,034.064750,-118.460620
000106032267,H,38,4,0,1,2,034.399929,-118.475993
000106127363,P,38,4,0,,,034.691474,-118.177298
000105807714,E,37,4,0,3,3,033.823959,-118.186467
000105807109,S,25,9,0,1,2,034.421400,-118.439000
000106670324,H,22,9,0,0,0,034.104780,-118.273880
000106674378,J,18,3,0,0,0,034.235180,-118.541180
000106215679,F,18,8,0,0,0,034.150390,-118.252980
000106058961,I,15,3,0,,,033.890970,-118.247850
000106036355,H,14,7,0,2,3,033.939290,-118.193350
000106430769,H,29,4,0,1,2,034.168627,-118.283430
000106075412,H,15,1,0,0,0,034.024620,-118.418110
000078164643,E,15,9,0,0,0,033.956100,-118.302150
000106632022,H,14,5,0,,,033.972610,-118.422840
000106361951,S,22,9,0,,,034.186387,-118.610676
000106160623,S,16,9,0,,,034.253100,-118.281370
000106523067,W,42,5,0,3,3,034.036910,-117.925630
000105793149,J,16,4,0,,,034.140410,-118.158960
000106413108,E,13,5,0,2,2,034.446600,-118.562440
000106437208,H,15,6,0,,,033.874990,-118.370930
000105887061,N,05,2,0,3,4,034.587070,-118.068980
000105917995,B,17,9,0,1,3,034.120310,-118.198850
000105889597,E,15,9,0,,,034.676816,-118.233115
000105531504,C,14,9,0,,,034.158840,-118.319360
000105970550,J,27,7,0,,,034.118560,-117.711750
000105779293,H,16,9,0,3,4,034.217650,-118.229900
000106583909,K,19,9,0,3,3,034.062590,-118.443090
000106381905,E,03,5,0,,,033.998680,-117.963280
000106059789,H,18,9,0,,,034.210380,-118.649630
000106363908,A,01,5,0,,,034.069357,-118.386039
000105827174,H,14,4,0,,,034.168470,-118.339370
000106586428,L,36,2,0,0,0,034.014508,-118.461005
000105792512,L,33,9,0,0,0,034.099610,-118.040360
000105841452,H,28,9,0,2,3,034.268080,-118.538180
000105886586,H,43,3,0,,,034.038110,-118.388160
000106109379,H,17,4,0,,,034.706830,-118.062260
000105802654,H,16,9,0,,,034.139235,-117.961910
000106509336,S,09,5,0,0,0,034.003380,-118.338490
000106257399,E,14,9,0,1,3,034.012240,-118.325370
000105913598,W,15,9,0,,,033.903320,-118.344500
000106527485,H,18,9,0,,,033.948510,-118.199320
000106496966,V,24,9,0,,,034.083110,-118.378310
000106678607,I,48,9,0,1,2,033.889420,-118.354130
000105868283,J,21,9,0,1,2,034.123139,-117.736591
000106214738,H,08,4,0,,,034.132130,-118.232390
000106340325,H,26,5,0,1,3,034.011570,-118.461520
000106636487,J,29,9,0,1,2,033.836790,-118.059980
000106658124,E,29,2,0,0,0,034.384439,-118.573799
000106386484,A,33,5,0,1,2,034.017780,-118.363390
000106256709,H,06,5,0,0,0,033.789246,-118.385683
000106473430,H,06,3,0,,,034.405397,-118.467795
000106363377,K,14,9,0,0,0,033.955140,-118.321320
000106560410,H,22,9,0,,,034.179390,-118.553130
000106560423,H,01,9,0,0,0,033.953049,-118.385851
000106145577,E,33,4,0,2,3,034.236770,-118.421740
000105913569,V,14,2,0,3,3,034.510640,-118.169430
000106618396,H,14,4,0,3,3,034.003660,-118.469780
000106457715,H,16,9,0,1,2,034.105080,-117.803770
000106090296,L,47,5,0,,,033.995900,-118.377260
000105939226,D,26,5,0,2,4,034.430210,-118.424050
000106618626,H,18,9,0,4,5,034.210670,-118.157340
000106455289,E,20,5,0,2,4,034.153770,-118.552010
000106348454,H,24,2,0,,,034.060380,-118.423990
000106010779,L,18,5,0,1,2,034.110070,-117.868610
000106672672,E,08,8,0,,,034.158700,-118.242130
000106105943,I,30,9,0,0,0,034.282580,-118.566720
000106493515,H,12,9,0,,,033.958120,-118.419980
000106471912,L,16,9,0,4,4,034.560960,-118.077290
000106184244,D,37,5,0,,,034.089570,-117.855180
000106323811,A,08,7,0,,,034.124520,-118.071130
000106097023,E,19,7,0,,,034.136300,-118.475060
000106305071,A,05,9,0,,,033.832450,-118.367170
000105864098,L,15,5,0,,,034.191710,-118.519390
000105952977,H,16,7,0,,,034.628440,-118.213970
000106635596,P,18,9,0,,,033.898030,-118.307100
000086399145,L,13,9,0,2,3,033.992670,-117.886210
000105992852,J,34,7,0,1,2,034.688564,-118.197039
000106417843,H,14,9,0,,,033.885380,-118.401700
000077914243,E,09,9,0,,,034.068240,-117.960230
000079887260,C,33,9,0,2,1,034.684296,-118.204915
000106272725,C,27,5,0,2,3,034.174450,-118.388540
000105868270,H,08,9,0,3,2,034.010650,-118.467260
000105885886,H,03,9,0,,,034.292710,-118.544010
000106638463,I,08,5,0,,,033.826460,-118.286510
000105809931,H,09,9,0,,,034.041060,-118.534670
000105796095,J,08,9,0,0,0,033.921240,-118.137290
000106274950,H,23,7,0,,,033.765400,-118.304230
000106675832,E,17,9,0,3,4,033.989580,-118.060510
000106016937,J,13,5,0,,,034.039240,-118.434860
000106121537,E,15,9,0,,,034.210962,-118.342901
000106637718,H,15,9,0,0,0,034.153890,-118.628870
000106300903,H,33,5,0,0,0,034.254340,-118.481030
000106416541,I,15,9,0,2,3,034.146160,-118.388490
000106540505,H,15,7,0,2,3,034.160080,-118.146480
000105822603,E,24,5,0,1,2,033.821260,-118.125670
000106652254,I,14,9,0,0,0,033.954050,-118.108030
000106587000,H,20,9,0,2,2,034.069020,-117.815130
000105886340,I,19,9,0,0,0,034.141450,-117.969520
000106634642,J,10,4,0,0,0,034.062164,-118.236121
000106630533,H,13,9,0,0,0,034.190250,-118.417930
000106414214,N,33,9,0,0,0,034.072790,-118.391310
000106308503,H,17,9,0,5,3,033.803430,-118.267060
000105935421,H,50,9,0,0,0,034.069630,-117.768370
000106528193,B,24,5,0,,,034.065420,-118.368500
000095809976,E,19,9,0,,,033.999900,-118.478500
000105848807,B,08,1,0,0,0,034.089990,-118.267270
000106237057,J,14,5,0,0,0,034.043290,-118.245190
000105864284,H,21,9,0,,,034.133610,-118.840080
000106650082,C,15,5,0,3,4,034.165400,-118.052820
000106299315,E,24,9,0,1,3,034.188690,-118.404910
000095000547,H,40,5,0,2,4,033.826430,-118.332024
000106618118,H,15,9,0,,,034.123370,-118.084370
000106056228,J,33,9,0,,,034.427330,-118.463950
000105885763,E,15,9,0,,,033.887869,-118.412022
000042428734,H,18,9,0,,,033.795450,-118.196120
000106058000,H,24,9,0,0,0,034.052780,-118.462680
000105829838,H,18,1,0,1,3,034.171770,-118.075350
000105939027,H,31,7,0,0,0,034.455380,-118.512180
000106455108,H,02,5,0,2,2,033.834530,-118.170770
000106610848,E,17,5,0,2,4,034.150750,-118.424060
000106233375,H,26,9,0,1,1,033.758920,-118.391660
000106058615,H,23,1,0,,,034.443560,-118.389150
000105916910,S,17,0,0,3,2,033.888106,-118.402114
000105807007,H,05,3,0,1,1,034.169070,-118.060210
000106210108,H,27,9,0,8,7,034.178700,-118.617130
000106527498,H,11,9,0,,,034.138670,-118.384030
000106163419,H,50,5,0,1,3,033.973640,-118.374700
000105863953,B,12,9,0,3,3,033.986710,-117.839190
000029810280,E,15,9,0,2,3,034.151570,-118.105430
000105824862,H,14,4,0,,,034.099250,-117.916330
000106364373,H,25,2,0,,,033.991500,-117.878070
000106433775,K,35,9,0,0,0,033.965850,-118.348230
000105792698,H,19,0,0,1,2,034.474630,-118.536120
000106436184,L,14,9,0,0,0,034.118080,-117.787690
000106104646,H,02,9,0,,,034.670625,-118.183582
000105979392,L,23,8,0,,,034.110270,-117.725030
000081109425,H,06,6,0,,,034.086590,-118.080870
000106210205,H,10,9,0,,,033.970320,-118.455440
000106476548,H,24,7,0,2,4,034.141650,-118.829880
000106471959,E,33,9,0,,,034.059870,-118.549650
000106340121,H,05,5,0,2,2,034.164850,-118.099770
000106109044,S,13,4,0,1,3,034.177040,-118.125910
000106477303,L,05,3,0,,,034.064250,-118.440580
000106342225,L,14,9,0,,,034.449880,-118.393970
000105959822,H,19,2,0,,,034.042860,-118.439290
000105913640,H,34,8,0,,,034.024150,-118.499200
000106632006,E,19,5,0,,,034.074040,-118.605500
000106413679,E,16,3,0,,,034.087950,-118.372150
000106344832,H,18,5,0,2,3,034.024450,-118.499540
000106189391,H,19,9,0,,,034.161360,-118.346530
000106129661,J,14,9,0,2,3,034.472140,-118.558010
000106346091,J,01,2,0,,,034.042480,-118.371350
000105934182,H,15,9,0,3,3,033.784470,-118.370660
000105861207,L,31,4,0,1,2,033.971380,-118.038260
000106611548,H,24,9,0,,,034.588630,-118.163530
000106436621,L,08,9,0,0,0,034.021965,-117.768455
000105883101,H,03,9,0,,,033.786650,-118.194120
000106030469,H,19,1,0,0,0,034.130360,-118.058360
000106459246,H,28,9,0,4,4,034.119010,-118.145680
000106500785,H,34,9,0,4,4,033.765230,-118.306630
000105930405,E,10,9,0,1,2,034.049530,-118.522950
000026111103,H,28,5,0,2,2,034.078240,-118.549410
000106490782,F,19,3,0,,,034.219024,-118.592044
000106493675,I,11,9,0,,,033.987822,-118.461244
000106167882,E,06,4,0,0,0,034.158310,-118.334470
000106616580,H,15,5,0,6,5,033.962350,-117.852000
000106384814,H,16,9,0,3,4,034.020761,-117.768792
000105950899,H,16,5,0,,,033.782190,-118.417440
000031626280,D,17,4,0,,,034.185634,-118.649488
000106234583,J,05,9,0,0,0,034.047100,-118.361700
000106342864,D,18,7,0,,,034.197500,-118.150680
000106438115,E,06,9,0,,,033.757960,-118.310968
000105997323,I,24,9,0,2,2,033.988930,-118.424680
000106126896,H,01,9,0,0,0,034.132950,-118.243260
000106096810,P,14,9,0,1,6,034.044130,-118.740850
000106342929,H,17,4,0,,,034.409740,-118.404730
000105916855,S,24,8,0,0,0,034.108590,-117.716280
000105797059,H,38,6,0,,,033.990190,-118.417040
000106585464,W,33,3,0,1,2,034.434210,-118.466670
000106276185,H,03,9,0,,,033.865920,-118.346380
000106417547,C,14,5,0,2,2,033.794010,-118.294990
000105866901,P,05,9,0,0,0,034.190750,-118.629422
000028516966,E,33,5,0,1,3,033.915150,-118.095430
000105841350,E,19,3,0,1,2,034.014390,-118.400820
000030090054,H,01,0,0,1,3,034.171510,-118.360130
000106090720,H,15,9,0,,,034.050220,-118.343340
000105939598,L,16,1,0,,,033.722190,-118.290910
000105843506,H,24,9,0,,,034.024250,-118.495750
000106585422,H,29,9,0,,,034.140610,-118.672980
000106583373,E,15,7,0,,,034.053840,-117.884240
000105802353,D,10,7,0,0,0,034.235800,-118.252430
000105808367,H,15,9,0,,,034.284530,-118.387720
000036072387,F,05,9,0,,,034.101970,-118.373960
000106108925,H,19,9,0,,,034.062590,-118.443090
000106347848,E,06,7,0,2,3,033.887670,-118.245340
000105975432,I,15,3,0,2,5,034.103570,-118.269220
000106417259,S,24,9,0,,,034.276170,-118.612870
000105827043,E,20,5,0,1,2,034.449410,-118.563240
000106583307,S,16,7,0,1,2,034.151860,-117.692870
000106109206,H,19,9,0,2,1,034.177052,-118.535898
000105951256,I,17,9,0,1,3,034.102050,-118.346510
000105978914,E,21,6,0,1,3,034.155459,-118.154639
000106034484,H,19,7,0,0,0,033.769050,-118.146850
000106100773,H,16,9,0,,,034.050750,-118.130850
000106011482,E,26,4,0,2,3,034.043260,-117.939280
000106272673,D,27,9,0,3,4,033.867640,-118.176480
000106670329,N,15,2,0,1,3,034.432430,-118.400030
000106144940,U,16,3,0,,,033.781930,-118.368250
000105825318,E,15,9,0,0,0,033.915420,-118.194390
000105846054,L,14,9,0,,,034.054910,-118.410030
000106675196,I,01,3,0,1,3,034.418063,-118.551207
000105952249,L,16,2,0,0,0,033.814960,-118.387690
000105841410,H,21,7,0,,,033.741880,-118.388690
000106475903,C,23,6,0,,,034.155500,-118.447280
000105933830,H,16,3,0,1,3,034.109600,-118.272770
000106580922,S,16,5,0,,,033.737740,-118.350160
000106146785,T,03,5,0,0,0,034.103650,-117.718250
